Id;Description;new_description;new_description_str;keywords
4.5.1;Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous people and conflict-affected as data become available) for all indicators on this list that can be disaggregated.;['parity', 'index', 'female', 'male', 'rural', 'urban', 'bottom', 'top', 'wealth', 'quintile', 'others', 'disability', 'status', 'indigenous', 'people', 'conflict', 'affected', 'become', 'available', 'indicator', 'list', 'disaggregated'];parity indices female male rural urban bottom top wealth quintile and others such as disability status indigenous people and conflict affected as data become available for all indicators on this list that can be disaggregated;[['others'], ['top', 'wealth'], ['indigenous', 'people'], ['become'], ['conflict', 'affected'], ['available', 'indicators']]
4.6.1;Percentage of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills. Disaggregations: sex, location, wealth (and others where data are available).;['population', 'given', 'age', 'group', 'achieving', 'least', 'fixed', 'level', 'proficiency', 'functional', 'literacy', 'b', 'numeracy', 'skill', 'disaggregations', 'sex', 'location', 'wealth', 'others', 'available'];percentage of population in a given age group achieving at least a fixed level of proficiency in functional a literacy and b numeracy skills disaggregations sex location wealth and others where data are available;[['others', 'available'], ['age', 'group'], ['given'], ['achieving', 'least'], ['fixed', 'level'], ['wealth', 'others']]
4.7.1;Percentage of 15-year-old students enrolled in secondary school demonstrating at least a fixed level of knowledge across a selection of topics in environmental science and geoscience. The exact choice/range of topics will depend on the survey or assessment in which the indicator is collected. Disaggregations: sex and location (and others where data are available);['old', 'student', 'enrolled', 'secondary', 'school', 'demonstrating', 'least', 'fixed', 'level', 'knowledge', 'across', 'selection', 'topic', 'environmental', 'science', 'geoscience', 'exact', 'choice', 'range', 'depend', 'survey', 'assessment', 'indicator', 'collected', 'disaggregations', 'sex', 'location', 'others', 'available'];percentage of year old students enrolled in secondary school demonstrating at least a fixed level of knowledge across a selection of topics in environmental science and geoscience the exact choice range of topics will depend on the survey or assessment in which the indicator is collected disaggregations sex and location and others where data are available;[['level', 'knowledge'], ['across', 'selection'], ['old', 'students'], ['choice', 'range'], ['least'], ['least', 'fixed']]
4.8.1;"Percentage of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) single-sex basic sanitation facilities; and (f) basic handwashing facilities (as per the Water, Sanitation and Hygiene for All (WASH) indicator definitions).";['school', 'access', 'electricity', 'b', 'internet', 'pedagogical', 'purpose', 'c', 'computer', 'adapted', 'infrastructure', 'material', 'student', 'disability', 'e', 'single', 'sex', 'basic', 'sanitation', 'facility', 'f', 'handwashing', 'water', 'hygiene', 'wash', 'indicator', 'definition'];percentage of schools with access to a electricity b the internet for pedagogical purposes c computers for pedagogical purposes d adapted infrastructure and materials for students with disabilities e single sex basic sanitation facilities and f basic handwashing facilities as per the water sanitation and hygiene for all wash indicator definitions;[['facilities', 'water'], ['sex', 'basic'], ['materials', 'students'], ['purposes', 'computers'], ['access', 'electricity'], ['basic', 'sanitation']]
4.9.1;Volume of official development assistance flows for scholarships by sector and type of study.;['volume', 'official', 'development', 'assistance', 'flow', 'scholarship', 'sector', 'study'];volume of official development assistance flows for scholarships by sector and type of study;[['development'], ['volume', 'official'], ['assistance', 'flows'], ['study'], ['scholarships', 'sector'], ['official']]
4.10.1;"Percentage of teachers in: (a) pre- primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in the State Disaggregations: sex (and others where data are available).";['teacher', 'pre', 'primary', 'b', 'c', 'lower', 'secondary', 'upper', 'education', 'received', 'least', 'minimum', 'organized', 'training', 'eg', 'pedagogical', 'service', 'required', 'teaching', 'relevant', 'level', 'state', 'disaggregations', 'sex', 'others', 'available'];percentage of teachers in a pre primary b primary c lower secondary and d upper secondary education who have received at least the minimum organized teacher training eg pedagogical training pre service or in service required for teaching at the relevant level in the state disaggregations sex and others where data are available;[['level', 'state'], ['others', 'available'], ['received', 'least'], ['primary', 'lower'], ['secondary', 'education'], ['pre', 'service']]
5.1.1;Whether or not legal frameworks are in place to promote, enforce and monitor equality and non- discrimination on the basis of sex.;['whether', 'legal', 'framework', 'place', 'promote', 'enforce', 'monitor', 'equality', 'non', 'discrimination', 'basis', 'sex'];whether or not legal frameworks are in place to promote enforce and monitor equality and non discrimination on the basis of sex;[['place', 'promote'], ['basis', 'sex'], ['whether'], ['non', 'discrimination'], ['legal'], ['monitor', 'equality']]
5.2.1;Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner, in the last 12 months, by form of violence and by age group.;['ever', 'partnered', 'woman', 'girl', 'aged', 'older', 'subjected', 'physical', 'sexual', 'psychological', 'violence', 'current', 'former', 'intimate', 'partner', 'last', 'month', 'form', 'age', 'group'];proportion of ever partnered women and girls aged years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the last months by form of violence and by age group;[['years', 'older'], ['age', 'group'], ['form', 'violence'], ['violence', 'current'], ['last'], ['partner', 'last']]
5.2.2;Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner, in the last 12 months, by age group and place of occurrence.;['woman', 'girl', 'aged', 'older', 'subjected', 'sexual', 'violence', 'person', 'intimate', 'partner', 'last', 'month', 'age', 'group', 'place', 'occurrence'];proportion of women and girls aged years and older subjected to sexual violence by persons other than an intimate partner in the last months by age group and place of occurrence;[['years', 'older'], ['age', 'group'], ['aged', 'years'], ['group', 'place'], ['months'], ['partner', 'last']]
5.3.1;Percentage of women aged 20-24 who were married or in a union before age 15 and before age 18.;['woman', 'aged', 'married', 'union', 'age'];percentage of women aged who were married or in a union before age and before age;[['age'], ['married', 'union'], ['women'], ['aged'], ['married'], ['union']]
5.3.2;Percentage of girls and women aged 15-49 who have undergone female genital mutilation/cutting, by age group.;['girl', 'woman', 'aged', 'undergone', 'female', 'genital', 'mutilation', 'cutting', 'age', 'group'];percentage of girls and women aged who have undergone female genital mutilation cutting by age group;[['age', 'group'], ['women'], ['cutting', 'age'], ['undergone', 'female'], ['female', 'genital'], ['girls']]
5.4.1;Percentage of time spent on unpaid domestic and care work, by sex, age group and location.;['time', 'spent', 'unpaid', 'domestic', 'care', 'work', 'sex', 'age', 'group', 'location'];percentage of time spent on unpaid domestic and care work by sex age group and location;[['time', 'spent'], ['domestic', 'care'], ['work'], ['sex', 'age'], ['group', 'location'], ['care']]
5.5.1;Proportion of seats held by women in national parliaments and local governments.;['seat', 'held', 'woman', 'national', 'parliament', 'local', 'government'];proportion of seats held by women in national parliaments and local governments;[['women', 'national'], ['seats', 'held'], ['held'], ['governments'], ['local'], ['national']]
5.5.2;Proportion of women in managerial positions.;['woman', 'managerial', 'position'];proportion of women in managerial positions;[['woman'], ['managerial'], ['position']]
5.6.1;Proportion of women aged 15-49 who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care.;['woman', 'aged', 'make', 'informed', 'decision', 'regarding', 'sexual', 'relation', 'contraceptive', 'reproductive', 'health', 'care'];proportion of women aged who make their own informed decisions regarding sexual relations contraceptive use and reproductive health care;[['reproductive', 'health'], ['aged', 'make'], ['make'], ['regarding', 'sexual'], ['women'], ['decisions', 'regarding']]
5.6.2;Number of countries with laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education.;['country', 'law', 'regulation', 'guarantee', 'woman', 'aged', 'access', 'sexual', 'reproductive', 'health', 'care', 'information', 'education'];number of countries with laws and regulations that guarantee women aged access to sexual and reproductive health care information and education;[['countries', 'laws'], ['guarantee', 'women'], ['access', 'sexual'], ['aged', 'access'], ['care'], ['education']]
5.7.1;"(a) Percentage of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure.";['people', 'ownership', 'secure', 'right', 'agricultural', 'land', 'population', 'sex', 'b', 'share', 'woman', 'among', 'owner', 'bearer', 'tenure'];a percentage of people with ownership or secure rights over agricultural land out of total agricultural population by sex and b share of women among owners or rights bearers of agricultural land by type of tenure;[['share', 'women'], ['women', 'among'], ['people'], ['land', 'agricultural'], ['owners', 'rights'], ['land']]
5.8.1;Proportion of individuals who own a mobile telephone, by sex.;['individual', 'mobile', 'telephone', 'sex'];proportion of individuals who own a mobile telephone by sex;[['individuals', 'mobile'], ['telephone', 'sex'], ['individuals'], ['telephone'], ['sex'], ['mobile']]
5.9.1;Systems to track and make public allocations for gender equality and womens empowerment.;['system', 'track', 'make', 'public', 'allocation', 'gender', 'equality', 'woman', 'empowerment'];systems to track and make public allocations for gender equality and women s empowerment;[['make'], ['women'], ['public'], ['systems', 'track'], ['gender', 'equality'], ['gender']]
6.1.1;Percentage of population using safely managed drinking water services.;['population', 'using', 'safely', 'managed', 'drinking', 'water', 'service'];percentage of population using safely managed drinking water services;[['drinking', 'water'], ['water'], ['using'], ['population'], ['safely', 'managed'], ['services']]
6.2.1;Percentage of population using safely managed sanitation services, including a hand-washing facility with soap and water.;['population', 'using', 'safely', 'managed', 'sanitation', 'service', 'hand', 'washing', 'facility', 'soap', 'water'];percentage of population using safely managed sanitation services including a hand washing facility with soap and water;[['population', 'using'], ['soap', 'water'], ['using', 'safely'], ['sanitation', 'services'], ['hand', 'washing'], ['managed', 'sanitation']]
6.3.1;Percentage of wastewater safely treated.;['wastewater', 'safely', 'treated'];percentage of wastewater safely treated;[['wastewater'], ['safely'], ['treated']]
6.3.2;Percentage of bodies of water with good ambient water quality.;['body', 'water', 'good', 'ambient', 'quality'];percentage of bodies of water with good ambient water quality;[['bodies', 'water'], ['water'], ['quality'], ['good'], ['bodies'], ['ambient']]
6.4.1;Percentage change in water use efficiency over time.;['change', 'water', 'efficiency', 'time'];percentage change in water use efficiency over time;[['change', 'water'], ['efficiency', 'time'], ['time'], ['change'], ['water'], ['efficiency']]
6.4.2;Percentage of total available water resources used, taking environmental water requirements into account (level of water stress).;['available', 'water', 'resource', 'used', 'taking', 'environmental', 'requirement', 'account', 'level', 'stress'];percentage of total available water resources used taking environmental water requirements into account level of water stress;[['available', 'water'], ['water', 'stress'], ['water'], ['resources', 'used'], ['account', 'level'], ['taking', 'environmental']]
6.5.1;Degree of integrated water resources management implementation (0- 100).;['degree', 'integrated', 'water', 'resource', 'management', 'implementation'];degree of integrated water resources management implementation;[['degree', 'integrated'], ['management'], ['resources'], ['water'], ['integrated'], ['implementation']]
6.6.1;Percentage of change in the extent of water-related ecosystems over time.;['change', 'extent', 'water', 'related', 'ecosystem', 'time'];percentage of change in the extent of water related ecosystems over time;[['time'], ['change'], ['extent'], ['water'], ['related'], ['related', 'ecosystems']]
6.7.1;Amount of water-and sanitation- related official development assistance that is part of a government coordinated spending plan.;['amount', 'water', 'sanitation', 'related', 'official', 'development', 'assistance', 'part', 'government', 'coordinated', 'spending', 'plan'];amount of water and sanitation related official development assistance that is part of a government coordinated spending plan;[['part'], ['government', 'coordinated'], ['development', 'assistance'], ['spending', 'plan'], ['related', 'official'], ['amount', 'water']]
6.8.1;Percentage of total projects/schemes run and managed by participation of local communities with established and operational policies and procedures for participation of local communities in water and sanitation management.;['project', 'scheme', 'run', 'managed', 'participation', 'local', 'community', 'established', 'operational', 'policy', 'procedure', 'water', 'sanitation', 'management'];percentage of total projects schemes run and managed by participation of local communities with established and operational policies and procedures for participation of local communities in water and sanitation management;[['managed', 'participation'], ['communities', 'water'], ['local'], ['operational', 'policies'], ['projects'], ['procedures', 'participation']]
7.1.1;Percentage of household with access to electricity.;['household', 'access', 'electricity'];percentage of household with access to electricity;[['household'], ['access'], ['electricity']]
7.1.2;Percentage of household with primary reliance on clean fuels and technology.;['household', 'primary', 'reliance', 'clean', 'fuel', 'technology'];percentage of household with primary reliance on clean fuels and technology;[['primary', 'reliance'], ['technology'], ['primary'], ['clean'], ['household'], ['fuels']]
7.2.1;Renewable energy share in the total final energy consumption.;['renewable', 'energy', 'share', 'final', 'consumption'];renewable energy share in the total final energy consumption;[['energy'], ['share', 'final'], ['consumption'], ['renewable'], ['share'], ['final']]
7.3.1;Energy intensity measured in terms of primary energy and gross domestic product (GDP).;['energy', 'intensity', 'measured', 'term', 'primary', 'gross', 'domestic', 'product', 'gdp'];energy intensity measured in terms of primary energy and gross domestic product gdp;[['energy', 'intensity'], ['measured', 'terms'], ['gross', 'domestic'], ['energy'], ['terms', 'primary'], ['product']]
7.4.1;Mobilized amount of United States dollars per year.;['mobilized', 'amount', 'united', 'state', 'dollar'];mobilized amount of united states dollars per year;[['dollars'], ['states'], ['united'], ['amount'], ['mobilized', 'amount'], ['mobilized']]
7.5.1;Ratio of value added to net domestic energy use, by industry.;['ratio', 'value', 'added', 'net', 'domestic', 'energy', 'industry'];ratio of value added to net domestic energy use by industry;[['added', 'net'], ['ratio', 'value'], ['value'], ['industry'], ['domestic'], ['energy']]
8.1.1;Annual growth rate of real GDP per capita.;['annual', 'growth', 'real', 'gdp', 'caput'];annual growth rate of real gdp per capita;[['growth', 'real'], ['growth'], ['gdp'], ['capita'], ['annual'], ['real']]
8.2.1;Annual growth rate of real GDP per employed person.;['annual', 'growth', 'real', 'gdp', 'employed', 'person'];annual growth rate of real gdp per employed person;[['growth'], ['gdp'], ['annual'], ['employed', 'person'], ['real'], ['person']]
8.3.1;Share of informal employment in non-agriculture employment, by sex.;['share', 'informal', 'employment', 'non', 'agriculture', 'sex'];share of informal employment in non agriculture employment by sex;[['employment', 'sex'], ['employment'], ['share', 'informal'], ['non'], ['agriculture'], ['share']]
8.4.1;Resource productivity.;['resource', 'productivity'];resource productivity;[['resource'], ['productivity']]
8.5.1;Average hourly earnings of female and male employees, by occupation, age group and persons with disabilities.;['average', 'hourly', 'earnings', 'female', 'male', 'employee', 'occupation', 'age', 'group', 'person', 'disability'];average hourly earnings of female and male employees by occupation age group and persons with disabilities;[['earnings', 'female'], ['group', 'persons'], ['employees', 'occupation'], ['employees'], ['age'], ['female']]
8.5.2;Unemployment rate, by sex, age group and persons with disabilities.;['unemployment', 'sex', 'age', 'group', 'person', 'disability'];unemployment rate by sex age group and persons with disabilities;[['age'], ['persons', 'disabilities'], ['persons'], ['unemployment'], ['sex'], ['group']]
8.6.1;Percentage of youth (aged 15-24) not in education, employment or training.;['youth', 'aged', 'education', 'employment', 'training'];percentage of youth aged not in education employment or training;[['education'], ['youth', 'aged'], ['training'], ['youth'], ['employment'], ['aged']]
8.7.1;Percentage and number of children aged 5-17 engaged in child labour, by sex and age group.;['child', 'aged', 'engaged', 'labour', 'sex', 'age', 'group'];percentage and number of children aged engaged in child labour by sex and age group;[['age', 'group'], ['children'], ['child', 'labour'], ['aged', 'engaged'], ['age'], ['labour', 'sex']]
8.8.1;Frequency rates of fatal and non- fatal occupational injuries, by sex and migrant status.;['frequency', 'fatal', 'non', 'occupational', 'injury', 'sex', 'migrant', 'status'];frequency rates of fatal and non fatal occupational injuries by sex and migrant status;[['non', 'fatal'], ['occupational', 'injuries'], ['frequency', 'rates'], ['fatal'], ['sex', 'migrant'], ['migrant', 'status']]
8.8.2;Number of International Labour Organization (ILO) Conventions ratified, by type of convention.;['international', 'labour', 'organization', 'ilo', 'convention', 'ratified'];number of international labour organization ilo conventions ratified by type of convention;[['labour', 'organization'], ['ratified', 'convention'], ['organization'], ['international'], ['ilo', 'conventions'], ['conventions']]
8.9.1;"Tourism direct GDP (as a percentage of total GDP and in growth rate); and number of jobs in tourism industries (as a percentage of total jobs and growth rate of jobs, by sex)";['tourism', 'direct', 'gdp', 'growth', 'job', 'industry', 'sex'];tourism direct gdp as a percentage of total gdp and in growth rate and number of jobs in tourism industries as a percentage of total jobs and growth rate of jobs by sex;[['growth'], ['gdp', 'growth'], ['direct', 'gdp'], ['jobs', 'sex'], ['jobs'], ['tourism', 'direct']]
8.10.1;Number of commercial bank branches and automated teller machines (ATMs) per 100,000 adults.;['commercial', 'bank', 'branch', 'automated', 'teller', 'machine', 'atm', 'adult'];number of commercial bank branches and automated teller machines atms per adults;[['commercial', 'bank'], ['atms', 'adults'], ['machines'], ['automated', 'teller'], ['bank'], ['branches']]
8.10.2;Percentage of adults (15 years and older) with an account at a bank or other financial institution or with a mobile money service provider.;['adult', 'older', 'account', 'bank', 'financial', 'institution', 'mobile', 'money', 'service', 'provider'];percentage of adults years and older with an account at a bank or other financial institution or with a mobile money service provider;[['mobile', 'money'], ['adults', 'years'], ['years'], ['older', 'account'], ['institution', 'mobile'], ['bank', 'financial']]
8.11.1;Total government spending in social protection and employment programmes as a percentage of the national budgets and GDP.;['government', 'spending', 'social', 'protection', 'employment', 'programme', 'national', 'budget', 'gdp'];total government spending in social protection and employment programmes as a percentage of the national budgets and gdp;[['government'], ['national', 'budgets'], ['protection', 'employment'], ['spending'], ['programmes', 'national'], ['social']]
9.1.1;Share of the rural population who live within 2 km of an all-season road.;['share', 'rural', 'population', 'live', 'within', 'km', 'season', 'road'];share of the rural population who live within km of an all season road;[['share', 'rural'], ['within'], ['km', 'season'], ['season', 'road'], ['population'], ['live']]
9.1.2;Passenger and freight volumes, by mode of transport.;['passenger', 'freight', 'volume', 'mode', 'transport'];passenger and freight volumes by mode of transport;[['passenger'], ['transport'], ['freight'], ['volumes', 'mode'], ['volumes'], ['mode']]
9.2.2;Manufacturing employment as a percentage of total employment.;['manufacturing', 'employment'];manufacturing employment as a percentage of total employment;[['manufacturing'], ['employment']]
9.3.1;Percentage share of small-scale industries in total industry value added.;['share', 'small', 'scale', 'industry', 'value', 'added'];percentage share of small scale industries in total industry value added;[['small', 'scale'], ['value'], ['industries', 'industry'], ['industry'], ['small'], ['share']]
9.3.2;Percentage of small-scale industries with a loan or line of credit.;['small', 'scale', 'industry', 'loan', 'line', 'credit'];percentage of small scale industries with a loan or line of credit;[['small'], ['scale', 'industries'], ['credit'], ['scale'], ['line'], ['loan']]
9.4.1;CO2 emission per unit of value added.;['co', 'emission', 'unit', 'value', 'added'];co emission per unit of value added;[['value'], ['co', 'emission'], ['unit'], ['added'], ['emission'], ['co']]
9.5.1;Research and development expenditure as a percentage of GDP;['research', 'development', 'expenditure', 'gdp'];research and development expenditure as a percentage of gdp;[['research', 'development'], ['development'], ['expenditure', 'gdp'], ['research'], ['gdp'], ['expenditure']]
9.5.2;Researchers (in full-time equivalent) per million inhabitants.;['researcher', 'full', 'time', 'equivalent', 'million', 'inhabitant'];researchers in full time equivalent per million inhabitants;[['million'], ['researchers', 'full'], ['time'], ['equivalent'], ['full'], ['inhabitants']]
9.6.1;%age of budgetary outlays for infrastructural development;['age', 'budgetary', 'outlay', 'infrastructural', 'development'];age of budgetary outlays for infrastructural development;[['age', 'budgetary'], ['development'], ['budgetary'], ['outlays'], ['infrastructural'], ['age']]
9.7.1;Percentage of medium and high-tech industry value added in total value added.;['medium', 'high', 'tech', 'industry', 'value', 'added'];percentage of medium and high tech industry value added in total value added;[['value'], ['medium', 'high'], ['high'], ['added'], ['tech', 'industry'], ['industry']]
9.8.1;Percentage of population covered by a mobile network, by technology.;['population', 'covered', 'mobile', 'network', 'technology'];percentage of population covered by a mobile network by technology;[['population', 'covered'], ['network'], ['technology'], ['mobile'], ['population'], ['covered']]
10.1.1;rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population.;['household', 'expenditure', 'income', 'caput', 'among', 'bottom', 'cent', 'population'];rates of household expenditure or income per capita among the bottom per cent of the population and the total population;[['cent', 'population'], ['rates', 'household'], ['income'], ['population'], ['among', 'bottom'], ['household', 'expenditure']]
10.2.1;Proportion of people living below 50 per cent of median income, disaggregated by age group, sex and persons with disabilities.;['people', 'living', 'cent', 'median', 'income', 'disaggregated', 'age', 'group', 'sex', 'person', 'disability'];proportion of people living below per cent of median income disaggregated by age group sex and persons with disabilities;[['living', 'cent'], ['people'], ['age'], ['income'], ['median', 'income'], ['group', 'sex']]
10.3.1;Percentage of the population reporting having personally felt discriminated against or harassed within the last 12 months on the basis of a ground of discrimination prohibited under international human rights law.;['population', 'reporting', 'personally', 'felt', 'discriminated', 'harassed', 'within', 'last', 'month', 'basis', 'ground', 'discrimination', 'prohibited', 'international', 'human', 'right', 'law'];percentage of the population reporting having personally felt discriminated against or harassed within the last months on the basis of a ground of discrimination prohibited under international human rights law;[['last'], ['rights', 'law'], ['international', 'human'], ['basis', 'ground'], ['ground', 'discrimination'], ['months']]
10.4.1;Labour share of GDP, comprising wages and social protection transfers.;['labour', 'share', 'gdp', 'comprising', 'wage', 'social', 'protection', 'transfer'];labour share of gdp comprising wages and social protection transfers;[['share', 'gdp'], ['social'], ['protection', 'transfers'], ['wages'], ['gdp', 'comprising'], ['labour']]
11.1.1;Proportion of urban population living in slums, informal settlements or inadequate housing.;['urban', 'population', 'living', 'slum', 'informal', 'settlement', 'inadequate', 'housing'];proportion of urban population living in slums informal settlements or inadequate housing;[['population'], ['living'], ['urban'], ['settlements', 'inadequate'], ['housing'], ['informal', 'settlements']]
11.2.1;Proportion of the population that has convenient access to public transport, disaggregated by age group, sex and persons with disabilities.;['population', 'convenient', 'access', 'public', 'transport', 'disaggregated', 'age', 'group', 'sex', 'person', 'disability'];proportion of the population that has convenient access to public transport disaggregated by age group sex and persons with disabilities;[['public', 'transport'], ['group', 'sex'], ['public'], ['access'], ['population'], ['age']]
11.3.1;Ratio of land consumption rate to population growth rate.;['ratio', 'land', 'consumption', 'population', 'growth'];ratio of land consumption rate to population growth rate;[['ratio', 'land'], ['growth'], ['consumption'], ['population'], ['ratio'], ['land']]
11.3.2;Percentage of cities with a direct participation structure of civil society in urban planning and management which operate regularly and democratically.;['city', 'direct', 'participation', 'structure', 'civil', 'society', 'urban', 'planning', 'management', 'operate', 'regularly', 'democratically'];percentage of cities with a direct participation structure of civil society in urban planning and management which operate regularly and democratically;[['cities', 'direct'], ['structure', 'civil'], ['society', 'urban'], ['management', 'operate'], ['direct', 'participation'], ['planning']]
11.4.1;Share of municipal budget which is dedicated to the preservation, protection and conservation of state/national cultural natural heritage, including World Heritage sites.;['share', 'municipal', 'budget', 'dedicated', 'preservation', 'protection', 'conservation', 'state', 'national', 'cultural', 'natural', 'heritage', 'world', 'site'];share of municipal budget which is dedicated to the preservation protection and conservation of state national cultural natural heritage including world heritage sites;[['heritage', 'world'], ['state', 'national'], ['cultural', 'natural'], ['heritage', 'sites'], ['preservation', 'protection'], ['protection', 'conservation']]
11.5.1;Number of deaths, missing people, injured, relocated or evacuated due to disasters per 100,000 people.;['death', 'missing', 'people', 'injured', 'relocated', 'evacuated', 'disaster'];number of deaths missing people injured relocated or evacuated due to disasters per people;[['people'], ['injured', 'relocated'], ['deaths'], ['injured'], ['evacuated', 'disasters'], ['missing']]
11.6.1;Percentage of urban solid waste regularly collected and with adequate final discharge with regard to the total waste generated by the city.;['urban', 'solid', 'waste', 'regularly', 'collected', 'adequate', 'final', 'discharge', 'regard', 'generated', 'city'];percentage of urban solid waste regularly collected and with adequate final discharge with regard to the total waste generated by the city;[['generated', 'city'], ['regard', 'waste'], ['adequate', 'final'], ['urban', 'solid'], ['final', 'discharge'], ['regularly', 'collected']]
11.6.2;Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted).;['annual', 'mean', 'level', 'fine', 'particulate', 'matter', 'eg', 'pm', 'city', 'population', 'weighted'];annual mean levels of fine particulate matter eg pm and pm in cities population weighted;[['pm', 'cities'], ['annual', 'mean'], ['cities', 'population'], ['levels'], ['matter'], ['particulate', 'matter']]
11.7.1;The average share of the built-up area of cities that is open space for public use for all, disaggregated by age group, sex and persons with disabilities.;['average', 'share', 'built', 'area', 'city', 'open', 'space', 'public', 'disaggregated', 'age', 'group', 'sex', 'person', 'disability'];the average share of the built up area of cities that is open space for public use for all disaggregated by age group sex and persons with disabilities;[['age', 'group'], ['share', 'built'], ['open', 'space'], ['group', 'sex'], ['public'], ['area']]
11.7.2;Proportion of women subjected to physical or sexual harassment, by perpetrator and place of occurrence (last 12 months).;['woman', 'subjected', 'physical', 'sexual', 'harassment', 'perpetrator', 'place', 'occurrence', 'last', 'month'];proportion of women subjected to physical or sexual harassment by perpetrator and place of occurrence last months;[['women', 'subjected'], ['occurrence', 'last'], ['last'], ['months'], ['sexual'], ['physical']]
11.8.1;Cities with more than 100,000 inhabitants that implement urban and regional development plans integrating population projections and resource needs.;['city', 'inhabitant', 'implement', 'urban', 'regional', 'development', 'plan', 'integrating', 'population', 'projection', 'resource', 'need'];cities with more than inhabitants that implement urban and regional development plans integrating population projections and resource needs;[['urban', 'regional'], ['development'], ['integrating', 'population'], ['inhabitants', 'implement'], ['needs'], ['plans', 'integrating']]
11.9.1;Percentage of cities that are implementing risk reduction and resilience strategies aligned with accepted international frameworks (such as the successor to the Hyogo Framework for Action 2005-2015 on disaster risk reduction) that include vulnerable and marginalized groups in their design, implementation and monitoring.;['city', 'implementing', 'risk', 'reduction', 'resilience', 'strategy', 'aligned', 'accepted', 'international', 'framework', 'successor', 'hyogo', 'action', 'disaster', 'include', 'vulnerable', 'marginalized', 'group', 'design', 'implementation', 'monitoring'];percentage of cities that are implementing risk reduction and resilience strategies aligned with accepted international frameworks such as the successor to the hyogo framework for action on disaster risk reduction that include vulnerable and marginalized groups in their design implementation and monitoring;[['groups', 'design'], ['risk', 'reduction'], ['include', 'vulnerable'], ['cities', 'implementing'], ['action', 'disaster'], ['accepted', 'international']]
11.10.1;Percentage of financial support that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings.;['financial', 'support', 'allocated', 'construction', 'retrofitting', 'sustainable', 'resilient', 'resource', 'efficient', 'building'];percentage of financial support that is allocated to the construction and retrofitting of sustainable resilient and resource efficient buildings;[['support'], ['resource', 'efficient'], ['allocated', 'construction'], ['financial'], ['buildings'], ['efficient']]
12.1.1;Material footprint and material footprint per capita.;['material', 'footprint', 'caput'];material footprint and material footprint per capita;[['material', 'footprint'], ['footprint', 'material'], ['footprint', 'capita'], ['material'], ['capita'], ['footprint']]
12.2.1;Global food loss index.;['global', 'food', 'loss', 'index'];global food loss index;[['loss', 'index'], ['global', 'food'], ['index'], ['global'], ['food'], ['loss']]
12.3.1;Number of parties to international multilateral environmental agreements on hazardous and other chemicals and waste that meet their commitments and obligations in transmitting information as required by each relevant agreement.;['party', 'international', 'multilateral', 'environmental', 'agreement', 'hazardous', 'chemical', 'waste', 'meet', 'commitment', 'obligation', 'transmitting', 'information', 'required', 'relevant'];number of parties to international multilateral environmental agreements on hazardous and other chemicals and waste that meet their commitments and obligations in transmitting information as required by each relevant agreement;[['information', 'required'], ['parties', 'international'], ['waste', 'meet'], ['required'], ['agreements', 'hazardous'], ['agreement']]
12.3.2;Treatment of waste, generation of hazardous waste, hazardous waste management, by type of treatment.;['treatment', 'waste', 'generation', 'hazardous', 'management'];treatment of waste generation of hazardous waste hazardous waste management by type of treatment;[['waste', 'generation'], ['waste'], ['management', 'treatment'], ['generation', 'hazardous'], ['treatment'], ['hazardous']]
12.4.1;National recycling rate, tons of material recycled.;['national', 'recycling', 'ton', 'material', 'recycled'];national recycling rate tons of material recycled;[['national', 'recycling'], ['material'], ['tons'], ['recycled'], ['recycling'], ['national']]
12.5.1;Number of companies publishing sustainability reports.;['company', 'publishing', 'sustainability', 'report'];number of companies publishing sustainability reports;[['companies', 'publishing'], ['sustainability', 'reports'], ['companies'], ['reports'], ['publishing'], ['sustainability']]
12.6.1;Number of departments implementing sustainable public procurement policies and action plans.;['department', 'implementing', 'sustainable', 'public', 'procurement', 'policy', 'action', 'plan'];number of departments implementing sustainable public procurement policies and action plans;[['departments', 'implementing'], ['public', 'procurement'], ['policies'], ['implementing', 'sustainable'], ['plans'], ['public']]
